,player_id,school,county,height,weight,seasons,jersey_number,from_year,to_year,draft_year,draft_round,draft_number
149,202324,USA,USA,6-9,265,9,22,2010,2019,2010,1,3
150,1626245,Brazil,Brazil,6-10,270,4,6,2015,2019,Undrafted,Undrafted,Undrafted
151,1628390,USA,USA,6-6,190,2,23,2017,2019,2017,1,21
152,1628981,Angola,Angola,6-9,240,0,24,2019,2019,2019,2,34
153,1627812,USA,USA,6-0,178,3,3,2016,2019,Undrafted,Undrafted,Undrafted
154,1627827,USA,USA,6-7,220,3,10,2016,2019,Undrafted,Undrafted,Undrafted
155,1627854,USA,USA,6-2,205,3,11,2016,2019,Undrafted,Undrafted,Undrafted
156,203095,France,France,6-7,205,7,10,2012,2019,2012,1,20
157,1628368,USA,USA,6-3,185,2,5,2017,2019,2017,1,5
158,1626187,USA,USA,6-3,200,0,21,2018,2019,Undrafted,Undrafted,Undrafted
159,204025,USA,USA,,,5,,2014,2019,Undrafted,Undrafted,Undrafted
160,1628982,USA,USA,6-5,215,1,35,2018,2019,2018,2,35
161,1628365,USA,USA,6-3,209,2,20,2017,2019,2017,1,1
162,1629117,Sudan,Sudan,6-9,205,0,35,2018,2019,Undrafted,Undrafted,Undrafted
163,1629655,USA,USA,6-10,234,0,12,2019,2019,2019,2,38
164,201568,Italy,Italy,6-10,233,11,8,2008,2019,2008,1,6
165,204038,USA,USA,6-1,200,5,9,2014,2019,Undrafted,Undrafted,Undrafted
166,1629636,USA,USA,6-1,192,0,10,2019,2019,2019,1,5
167,201188,Spain,Spain,6-11,255,11,33,2008,2019,2007,2,48
168,200752,USA,USA,6-8,250,13,22,2006,2019,2006,1,8
169,202331,USA,USA,6-8,220,9,13,2010,2019,2010,1,10
170,201959,USA,USA,6-9,232,10,67,2009,2019,2009,1,26
171,1628385,USA,USA,6-11,240,1,20,2017,2019,2017,1,20
172,1628983,Canada,Canada,6-5,180,1,2,2018,2019,2018,1,11
173,203497,France,France,7-1,258,6,27,2013,2019,2013,1,27
174,1629164,USA,USA,6-0,180,1,0,2018,2019,Undrafted,Undrafted,Undrafted
175,203932,USA,USA,6-8,235,5,00,2014,2019,2014,1,4
176,201569,USA,USA,6-3,215,11,10,2008,2019,2008,1,7
177,1628984,USA,USA,6-1,195,1,4,2018,2019,2018,2,34
178,1626203,USA,USA,6-5,219,3,2,2016,2019,Undrafted,Undrafted,Undrafted
179,203924,USA,USA,6-8,210,5,9,2014,2019,2014,2,39
180,1627982,USA,USA,6-0,180,1,5,2017,2019,Undrafted,Undrafted,Undrafted
181,201980,USA,USA,6-6,215,10,14,2009,2019,2009,2,46
182,203110,USA,USA,6-6,230,7,23,2012,2019,2012,2,35
183,101123,USA,USA,6-7,205,12,14,2005,2018,2005,1,18
184,203210,USA,USA,6-8,227,5,4,2014,2019,Undrafted,Undrafted,Undrafted
185,1629750,USA,USA,6-4,205,0,43,2019,2019,Undrafted,Undrafted,Undrafted
186,201145,USA,USA,,,11,,2007,2019,2007,1,5
187,201933,USA,USA,6-9,250,9,23,2009,2019,2009,1,1
188,1629741,Serbia,Serbia,6-6,201,0,23,2019,2019,Undrafted,Undrafted,Undrafted
189,1629657,USA,USA,6-1,167,0,7,2019,2019,2019,2,55
190,1629060,Japan,Japan,6-8,230,0,8,2019,2019,2019,1,9
191,1628985,USA,USA,,,0,,2019,2019,2018,2,53
192,203501,USA,USA,6-5,205,6,11,2013,2019,2013,1,24
193,201935,USA,USA,6-5,220,10,13,2009,2019,2009,1,3
194,203090,USA,USA,6-7,220,7,11,2012,2019,2012,1,15
195,1629607,USA,USA,5-11,175,0,12,2019,2019,Undrafted,Undrafted,Undrafted
196,1626149,USA,USA,6-7,240,4,5,2015,2019,2015,2,32
197,203914,USA,USA,6-4,210,5,14,2014,2019,2014,1,19
198,203925,USA,USA,6-6,220,5,12,2014,2019,2014,2,33
199,202699,USA,USA,6-8,226,8,12,2011,2019,2011,1,19
